area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
19,1138769.8261094554,1916595.390082971,2001-04-01,711,2001,4
20,1147148.2658771966,1915590.506238743,2001-04-01,253,2001,4
21,1153513.5391738585,1920853.995915648,2001-04-01,412,2001,4
22,1156836.3469266074,1915082.0084118515,2001-04-01,1056,2001,4
23,1150972.7668141976,1906770.342059686,2001-04-01,1300,2001,4
24,1163101.1946640266,1907274.5603450881,2001-04-01,1344,2001,4
25,1139501.4455203577,1904515.317302641,2001-04-01,2435,2001,4
26,1148492.0800920937,1898926.8208310378,2001-04-01,630,2001,4
27,1155118.4720060378,1899090.9879511695,2001-04-01,589,2001,4
28,1166673.6370903612,1897389.3366012694,2001-04-01,1208,2001,4
29,1152083.8689112775,1892245.4895438715,2001-04-01,979,2001,4
30,1153015.4749217809,1884561.8899471175,2001-04-01,653,2001,4
31,1165637.2199076533,1888730.3063228142,2001-04-01,440,2001,4
32,1177096.9672659107,1899244.1743320609,2001-04-01,896,2001,4
33,1178485.438118167,1891354.3372206932,2001-04-01,343,2001,4
34,1174814.7645357142,1885818.5583101348,2001-04-01,174,2001,4
35,1179003.7146051468,1883317.3478258073,2001-04-01,787,2001,4
36,1183252.4657469783,1879210.3935520067,2001-04-01,147,2001,4
37,1175334.896725607,1873799.9673749614,2001-04-01,173,2001,4
38,1179293.9300989718,1875240.8957496388,2001-04-01,874,2001,4
39,1185215.7152495903,1873821.3589570147,2001-04-01,233,2001,4
40,1179336.8364875505,1867737.225510901,2001-04-01,454,2001,4
41,1186318.0364974132,1868427.9125587565,2001-04-01,248,2001,4
42,1185652.6763233524,1862878.1135765524,2001-04-01,731,2001,4
43,1191748.143530457,1856627.1394431274,2001-04-01,1222,2001,4
44,1180030.3224386035,1848738.0951337416,2001-04-01,771,2001,4
45,1188101.853103473,1850262.1723165894,2001-04-01,147,2001,4
46,1197641.3941914532,1849269.397799384,2001-04-01,675,2001,4
47,1185388.0780622198,1844401.7278814055,2001-04-01,57,2001,4
48,1191868.593139188,1845002.6713110155,2001-04-01,207,2001,4
49,1178112.5798496811,1836471.3544372986,2001-04-01,1027,2001,4
50,1184970.746915072,1836360.4899814639,2001-04-01,137,2001,4
51,1192720.4756234041,1830782.2232708456,2001-04-01,230,2001,4
52,1202266.0613786809,1836946.5777759908,2001-04-01,204,2001,4
53,1174830.6278669012,1824503.5080535645,2001-04-01,572,2001,4
54,1183858.98899117,1819591.7650869673,2001-04-01,259,2001,4
55,1199233.7154282685,1819872.1287698066,2001-04-01,80,2001,4
56,1139429.1895410677,1868834.425853946,2001-04-01,370,2001,4
57,1149720.1452195724,1874259.0310946703,2001-04-01,123,2001,4
58,1157200.3733474382,1876677.085333102,2001-04-01,423,2001,4
59,1164350.1650247623,1881306.622101333,2001-04-01,183,2001,4
60,1170795.2226652165,1883626.6359742072,2001-04-01,258,2001,4
61,1168044.5029453787,1873717.5265209724,2001-04-01,917,2001,4
62,1150353.88820166,1867741.5986535647,2001-04-01,98,2001,4
63,1157920.791905841,1868688.7831583412,2001-04-01,353,2001,4
64,1138304.9116959611,1862776.6159634923,2001-04-01,198,2001,4
65,1149671.3394004735,1859281.0512146184,2001-04-01,243,2001,4
66,1158194.1827721328,1860097.1885204061,2001-04-01,951,2001,4
67,1166112.494391112,1861644.157359324,2001-04-01,998,2001,4
68,1172682.1108629822,1862157.8824890652,2001-04-01,1042,2001,4
69,1179915.415523343,1857133.6761266873,2001-04-01,922,2001,4
70,1154799.0756806124,1850564.5073838087,2001-04-01,313,2001,4
71,1169010.3149361743,1850106.2480561812,2001-04-01,991,2001,4
